instance_id,user_id,original email,revised email,gender,race,age,occupation,education
788,,yes.  you need to come over more.,Absolutely.  You should consider coming over more.,,,,,
861,,"MAKE SURE YOU TURN UP YOUR MUSIC..
>  
>  
 - DANCEOFF.exe",Ensure your music is turned up.,,,,,
82,,"Shelley, FYI.  Raetta is working closely with Rita on this project.
	Rick and I will be involved as well.  If you have any questions,
	please let us know.  Thanks. Lynn","Shelley, there are a number of us who will be involved on the project.",,,,,
1444,0.0,"Which award are you going for?  the Skankiest Ass Bitch, and Classiest Ho!","Hey,
Which award are you going for? I would love to know so that I can give you my vote in whatever category you're going for. Next time I see you, I'll tell you which award I think you'd win!
TTYL",Woman,White,,Student,High school diploma or equivalent
1064,0.0,"All of a sudden Mark Frevert asks me everyday about when we'll know about 
hedging re PPA's and if we can delay the auction 2 weeks.
The dream is still alive.  
Let's see my boys come through.
Lavo","Hello,
Mark Frevery has been asking me about when we will know about hedging re PPA's and if we can delay the auction by 2 weeks. I am happy about this inquisition and believe this will be beneficial. I wanted to update you on the good news!
Lavo",Woman,White,,Student,High school diploma or equivalent
95,0.0,Where have you been??  Why havn't you called??,"Hey,
I am worried about you. Where have you been? And why haven't you called me? Get in touch with me when you can, okay?",Woman,White,,Student,High school diploma or equivalent
333,0.0,"Kay, I hate to sound stupid, but............do you want all of the letters redlined or just the highlighted one?  You want the date at the top of the letter to be September 13, 2001 right?  Have the changes been made that these guys are talking about or is that something else?  Do you want me to do a new version or just put on the track changes to pick up all the changes that have been made to the letters?","Greetings Kay,
I wanted to get in touch with you to clear up some misunderstandings on my end. Here is where I need some more clarification:
Do you want all the letters redlined or just the highlighted ones? 
Would you like the date at the top to read ""September 13, 2001""?
Have there been changes made in regards to the men talking, or is that something else?
Would you like me to create a new version or put the track changes to pick up all that has been made to the letters?

I appreciate your time for these clarifications and look forward to working together!",Woman,White,,Student,High school diploma or equivalent
274,0.0,"I thought that you were going Skiing?  The guys we went hunting w/ didn't know what they were doing!  We drank a lot of beer & whisky, played paintball, ate BBQ & sat around the campfire.
Got an open night to grab drinks this week if you are not going skiing?
Late,
DB
281-787-0029","Hey you,
I thought you were going skiing - since you will be in town, I would love to grab a drink with you this week! 
The guys we went hunting with weren't prepared for the trip. Instead, we just drank a lot of booze, played paintball, ate BBQ, and sat around a campfire. There are worse ways to spend a hunting trip, though!
Call me so we can arrange a day to get some drinks.
Late,
DB 
281-787-0029",Woman,White,,Student,High school diploma or equivalent
1466,0.0,"once again, keep your mouth shut til you beat my team.  You have not proved 
anything yet.
PL","Hello,
I do not appreciate how you have spoken to me lately. My team has worked hard, which is how we have won games fairly. I would appreciate some decorum and more respectable sportsmanship as I have shown to you and your team.
Best,
PL",Woman,White,,Student,High school diploma or equivalent
984,0.0,"what does that mean?
   
	Enron North America Corp.","Hello,
There seems to be a miscommunication. Would you mind further explaining what you mean?
Thank you,
Enron North America Corp.",Woman,White,,Student,High school diploma or equivalent
